"post_id","user","date","is_accepted_answer"
"12576","mootari","2020-09-10T19:41:43.349Z","FALSE"
"12575","mbostock","2020-09-10T19:40:13.504Z","FALSE"
"12574","mootari","2020-09-10T19:10:09.066Z","FALSE"
"12573","Job","2020-09-10T15:15:53.998Z","FALSE"
"12571","mootari","2020-09-10T09:24:45.940Z","FALSE"
"12570","Fil","2020-09-10T09:13:31.755Z","FALSE"
"12569","mootari","2020-09-10T08:43:10.525Z","FALSE"
"12566","stephanietuerk","2020-09-09T20:30:21.369Z","FALSE"
"12565","mbostock","2020-09-09T18:13:05.399Z","FALSE"
"12560","mootari","2020-09-09T14:57:20.624Z","FALSE"
"12559","yurivish","2020-09-09T14:40:17.376Z","FALSE"
"12558","davertron","2020-09-09T12:44:26.028Z","FALSE"
"12556","bayre","2020-09-09T07:34:03.061Z","FALSE"
"12555","mbostock","2020-09-09T00:19:23.416Z","FALSE"
"12554","mbostock","2020-09-08T23:38:23.286Z","FALSE"
"12553","bgchen","2020-09-08T20:18:38.898Z","FALSE"
"12552","enjalot","2020-09-08T19:35:27.345Z","FALSE"
"12551","mootari","2020-09-08T19:13:38.940Z","FALSE"
"12550","mootari","2020-09-08T17:41:38.976Z","FALSE"
"12549","Fil","2020-09-08T17:34:15.738Z","FALSE"
"12548","magrawala","2020-09-08T17:17:41.646Z","FALSE"
"12547","mootari","2020-09-08T17:10:30.565Z","FALSE"
"12546","mootari","2020-09-08T12:49:20.457Z","FALSE"
"12545","mootari","2020-09-08T12:17:43.098Z","FALSE"
"12544","Fil","2020-09-08T12:14:10.339Z","FALSE"
"12543","ILogre","2020-09-08T09:17:10.537Z","FALSE"
"12541","mbostock","2020-09-08T05:46:18.209Z","FALSE"
"12540","magrawala","2020-09-08T05:09:16.902Z","FALSE"
"12539","mbostock","2020-09-08T04:56:53.585Z","FALSE"
"12538","radames","2020-09-08T04:40:58.144Z","FALSE"
"12537","magrawala","2020-09-07T21:31:50.713Z","FALSE"
"12535","Radiergummi","2020-09-07T20:14:02.039Z","FALSE"
"12534","jrus","2020-09-07T19:23:56.492Z","FALSE"
"12533","mootari","2020-09-07T18:49:43.311Z","FALSE"
"12532","mootari","2020-09-07T18:35:47.322Z","FALSE"
"12529","mootari","2020-09-07T15:35:22.964Z","FALSE"
"12528","mootari","2020-09-07T15:23:49.748Z","FALSE"
"12519","Radiergummi","2020-09-07T10:51:00.994Z","FALSE"
"12518","Job","2020-09-07T10:22:13.528Z","FALSE"
"12517","Radiergummi","2020-09-07T10:12:30.549Z","FALSE"
"12514","ILogre","2020-09-07T08:55:27.349Z","FALSE"
"12513","ILogre","2020-09-07T08:15:49.290Z","TRUE"
"12512","ILogre","2020-09-07T06:49:06.376Z","FALSE"
"12492","oscar6echo","2020-09-06T21:51:03.994Z","FALSE"
"12491","mootari","2020-09-06T19:47:52.647Z","FALSE"
"12490","jrus","2020-09-06T19:44:14.956Z","FALSE"
"12489","mbostock","2020-09-06T19:27:12.165Z","TRUE"
"12487","jrus","2020-09-06T09:00:47.897Z","FALSE"
"12486","mootari","2020-09-06T09:00:42.656Z","FALSE"
"12485","mootari","2020-09-06T08:30:16.125Z","FALSE"
"12484","hellonearthis","2020-09-06T02:16:52.808Z","FALSE"
"12483","jrus","2020-09-06T01:27:33.698Z","FALSE"
"12482","PBrockmann","2020-09-05T17:09:17.244Z","FALSE"
"12481","mbostock","2020-09-05T16:20:58.834Z","TRUE"
"12480","hellonearthis","2020-09-05T07:55:34.478Z","FALSE"
"12479","aaronkyle","2020-09-05T01:57:55.904Z","FALSE"
"12478","mootari","2020-09-04T23:25:49.294Z","FALSE"
"12477","tophtucker","2020-09-04T22:45:42.158Z","FALSE"
"12476","anjana","2020-09-04T21:33:36.911Z","FALSE"
"12475","stephanietuerk","2020-09-04T20:33:13.930Z","FALSE"
"12474","mootari","2020-09-04T20:10:34.856Z","FALSE"
"12473","radames","2020-09-04T19:56:21.154Z","TRUE"
"12472","stephanietuerk","2020-09-04T19:44:25.287Z","FALSE"
"12471","visnup","2020-09-04T18:29:08.992Z","FALSE"
"12470","PBrockmann","2020-09-04T17:32:33.489Z","FALSE"
"12469","mootari","2020-09-04T15:36:07.829Z","FALSE"
"12468","ILogre","2020-09-04T14:52:40.435Z","FALSE"
"12467","Fil","2020-09-04T14:14:05.012Z","FALSE"
"12466","ILogre","2020-09-04T12:33:05.590Z","FALSE"
"12465","mootari","2020-09-04T12:28:33.276Z","FALSE"
"12464","ILogre","2020-09-04T12:27:28.121Z","FALSE"
"12463","ILogre","2020-09-04T12:18:57.959Z","FALSE"
"12462","mootari","2020-09-04T11:58:45.692Z","FALSE"
"12461","ILogre","2020-09-04T10:50:59.876Z","FALSE"
"12460","ILogre","2020-09-04T07:05:25.197Z","FALSE"
"12459","mootari","2020-09-03T23:51:27.137Z","FALSE"
"12458","mootari","2020-09-03T23:40:21.271Z","FALSE"
"12457","mcmcclur","2020-09-03T23:27:49.639Z","FALSE"
"12455","mootari","2020-09-03T22:54:16.265Z","FALSE"
"12454","mootari","2020-09-03T22:28:33.726Z","FALSE"
"12453","mcmcclur","2020-09-03T22:16:57.664Z","FALSE"
"12452","bayre","2020-09-03T17:21:08.773Z","FALSE"
"12451","oscar6echo","2020-09-03T10:34:25.640Z","FALSE"
"12450","mpj","2020-09-03T09:14:41.523Z","FALSE"
"12446","mpj","2020-09-03T05:10:45.677Z","FALSE"
"12445","aaronkyle","2020-09-03T01:01:45.427Z","FALSE"
"12444","anjana","2020-09-02T18:12:30.392Z","FALSE"
"12442","sydneypalumbo","2020-09-02T17:42:47.884Z","FALSE"
"12441","severo","2020-09-02T14:37:16.007Z","FALSE"
"12440","severo","2020-09-02T14:31:44.848Z","FALSE"
"12439","mootari","2020-09-02T14:22:55.558Z","TRUE"
"12438","severo","2020-09-02T13:33:25.525Z","FALSE"
"12437","Job","2020-09-02T10:21:11.941Z","FALSE"
"12435","mootari","2020-09-02T09:32:57.117Z","FALSE"
"12434","aaronkyle","2020-09-02T09:00:03.558Z","FALSE"
"12431","anjana","2020-09-02T00:05:32.987Z","FALSE"
"12428","mootari","2020-09-01T21:21:41.253Z","FALSE"
"12427","clhenrick","2020-09-01T21:19:38.845Z","FALSE"
"12426","clhenrick","2020-09-01T21:18:37.559Z","FALSE"
"12424","Cobus","2020-09-01T21:13:16.234Z","FALSE"
"12422","visnup","2020-09-01T20:44:24.177Z","FALSE"
"12421","mootari","2020-09-01T20:41:58.352Z","TRUE"
"12420","clhenrick","2020-09-01T19:21:54.517Z","FALSE"
"12418","oscar6echo","2020-09-01T17:51:15.051Z","FALSE"
"12414","aaronkyle","2020-09-01T16:33:00.536Z","FALSE"
"12413","GordonSmith","2020-09-01T16:20:56.217Z","FALSE"
"12412","GordonSmith","2020-09-01T16:11:09.870Z","FALSE"
"12411","john-guerra","2020-09-01T16:05:35.688Z","FALSE"
"12409","mootari","2020-09-01T15:32:54.386Z","FALSE"
"12408","severo","2020-09-01T14:07:52.956Z","FALSE"
"12407","bgchen","2020-09-01T14:06:23.659Z","FALSE"
"12406","GCA","2020-09-01T13:41:46.689Z","FALSE"
"12405","oscar6echo","2020-09-01T12:50:31.881Z","FALSE"
"12404","Job","2020-09-01T12:33:57.283Z","FALSE"
"12403","ILogre","2020-09-01T07:54:07.846Z","FALSE"
"12402","anjana","2020-08-31T23:06:12.494Z","FALSE"
"12397","mootari","2020-08-31T20:56:04.754Z","FALSE"
"12396","a10k","2020-08-31T19:46:15.906Z","FALSE"
"12395","a10k","2020-08-31T19:39:19.437Z","FALSE"
"12393","mootari","2020-08-31T17:39:10.051Z","FALSE"
"12392","a10k","2020-08-31T16:52:22.667Z","FALSE"
